NSE,date
1000,01/04/2005
1000,02/04/2005
1000,03/04/2005
1015.88,04/04/2005
1012.58,05/04/2005
1026.82,06/04/2005
1021.33,07/04/2005
1013.41,08/04/2005
1013.41,09/04/2005
1013.41,10/04/2005
1001.53,11/04/2005
1008.69,12/04/2005
1011.14,13/04/2005
1011.14,14/04/2005
986.24,15/04/2005
986.24,16/04/2005
986.24,17/04/2005
973.17,18/04/2005
976.36,19/04/2005
987.08,20/04/2005
1004.6,21/04/2005
1024.86,22/04/2005
1024.86,23/04/2005
1024.86,24/04/2005
1028.71,25/04/2005
1024.31,26/04/2005
1010.7,27/04/2005
1007.19,28/04/2005
992.08,29/04/2005
992.08,30/04/2005
992.08,01/05/2005
982.33,02/05/2005
985.89,03/05/2005
995.81,04/05/2005
1002.55,05/05/2005
1005.76,06/05/2005
1005.76,07/05/2005
1005.76,08/05/2005
1021.11,09/05/2005
1016.86,10/05/2005
1019.8,11/05/2005
1029.85,12/05/2005
1036.56,13/05/2005
1036.56,14/05/2005
1036.56,15/05/2005
1049.07,16/05/2005
1039.45,17/05/2005
1046.93,18/05/2005
1052.17,19/05/2005
1045.23,20/05/2005
1045.23,21/05/2005
1045.23,22/05/2005
1052.92,23/05/2005
1058.19,24/05/2005
1061.85,25/05/2005
1060.89,26/05/2005
1055.21,27/05/2005
1055.21,28/05/2005
1055.21,29/05/2005
1047.43,30/05/2005
1052.85,31/05/2005
1059.04,01/06/2005
1050.59,02/06/2005
1056.21,03/06/2005
1056.53,04/06/2005
1056.53,05/06/2005
1057.77,06/06/2005
1058.31,07/06/2005
1057.31,08/06/2005
1062.01,09/06/2005
1059.21,10/06/2005
1059.21,11/06/2005
1059.21,12/06/2005
1058.05,13/06/2005
1061.73,14/06/2005
1067.2,15/06/2005
1052.9,16/06/2005
1036.09,17/06/2005
1036.09,18/06/2005
1036.09,19/06/2005
1028.16,20/06/2005
1031.3,21/06/2005
1031.4,22/06/2005
1036.29,23/06/2005
1047.19,24/06/2005
1047.19,25/06/2005
1047.19,26/06/2005
1043,27/06/2005
1024.8,28/06/2005
1035.07,29/06/2005
1035.33,30/06/2005
1050.11,01/07/2005
1050.11,02/07/2005
1050.11,03/07/2005
1068.31,04/07/2005
1067.85,05/07/2005
1087.43,06/07/2005
1073.51,07/07/2005
1090.09,08/07/2005
1090.09,09/07/2005
1090.09,10/07/2005
1103.16,11/07/2005
1103.3,12/07/2005
1112.33,13/07/2005
1115.85,14/07/2005
1126.44,15/07/2005
1126.44,16/07/2005
1126.44,17/07/2005
1152.83,18/07/2005
1166.9,19/07/2005
1164.78,20/07/2005
1163.88,21/07/2005
1176.85,22/07/2005
1176.85,23/07/2005
1176.85,24/07/2005
1181.06,25/07/2005
1178.11,26/07/2005
1182.36,27/07/2005
1182.36,28/07/2005
1178.96,29/07/2005
1178.96,30/07/2005
1178.96,31/07/2005
1191.13,01/08/2005
1218.51,02/08/2005
1220.89,03/08/2005
1225.5,04/08/2005
1239.68,05/08/2005
1239.68,06/08/2005
1239.68,07/08/2005
1229.29,08/08/2005
1222.59,09/08/2005
1253.73,10/08/2005
1280.29,11/08/2005
1284.83,12/08/2005
1284.83,13/08/2005
1284.83,14/08/2005
1284.83,15/08/2005
1292.61,16/08/2005
1306.08,17/08/2005
1307.31,18/08/2005
1303.04,19/08/2005
1303.04,20/08/2005
1303.04,21/08/2005
1303.87,22/08/2005
1272.07,23/08/2005
1247.99,24/08/2005
1260.68,25/08/2005
1291.58,26/08/2005
1291.58,27/08/2005
1291.58,28/08/2005
1288.51,29/08/2005
1309.72,30/08/2005
1317.4,31/08/2005
1338.4,01/09/2005
1341.62,02/09/2005
1341.62,03/09/2005
1341.62,04/09/2005
1342.84,05/09/2005
1347.31,06/09/2005
1347.31,07/09/2005
1359.97,08/09/2005
1360.47,09/09/2005
1360.47,10/09/2005
1360.47,11/09/2005
1373.04,12/09/2005
1384.31,13/09/2005
1376.23,14/09/2005
1395.92,15/09/2005
1404.07,16/09/2005
1404.07,17/09/2005
1404.07,18/09/2005
1439.46,19/09/2005
1427.4,20/09/2005
1393.49,21/09/2005
1326.56,22/09/2005
1339.32,23/09/2005
1339.32,24/09/2005
1339.32,25/09/2005
1384.93,26/09/2005
1413.02,27/09/2005
1438.04,28/09/2005
1440.76,29/09/2005
1428.64,30/09/2005
1428.64,01/10/2005
1428.64,02/10/2005
1434.06,03/10/2005
1439.94,04/10/2005
1442.17,05/10/2005
1425.14,06/10/2005
