Date,NSE Momentum Index,Equity + Puts,Equity + Puts + Calls,Equity + Gold + Puts + Calls,Gold Bees,QAW,QGF,QVF,LongOpt,pbsar_99_x0_0_NIFTY_M_0_10_0.99_0.99_False_99_0.0015_0.0015_5,pbsar_99_x0_0_NIFTY_M_0_10_0.99_0.99_False_99_0.0025_0.0025_5,pbsar_99_x0_0_NIFTY_M_0_10_0.99_0.99_False_99_0.001_0.001_5,pbsar_99_x0_0_NIFTY_M_0_10_0.99_0.99_False_99_0.002_0.002_5,pbsar_99_x0_0_NIFTY_M_0_10_0.99_0.99_False_99_0.0035_0.0035_5,pbsar_99_x0_0_NIFTY_M_0_10_0.99_0.99_False_99_0.003_0.003_5,pbsar_99_x0_0_NIFTY_M_0_10_0.99_0.99_False_99_0.0045_0.0045_5,pbsar_99_x0_0_NIFTY_M_0_10_0.99_0.99_False_99_0.004_0.004_5,pbsar_99_x0_0_NIFTY_M_0_10_0.99_0.99_False_99_0.005_0.005_5,pbsar_99_x0_0_NIFTY_M_0_10_0.99_0.99_False_99_0.015_0.015_5,pbsar_99_x0_0_NIFTY_M_0_10_0.99_0.99_False_99_0.01_0.01_5,pbsar_99_x0_0_NIFTY_M_0_10_0.99_0.99_False_99_0.025_0.025_5,pbsar_99_x0_0_NIFTY_M_0_10_0.99_0.99_False_99_0.02_0.02_5
01-04-2005,1000.0,,,,,,,,,,,,,,,,,,,,,
02-04-2005,1000.0,,,,,,,,,,,,,,,,,,,,,
03-04-2005,1000.0,,,,,,,,,,,,,,,,,,,,,
04-04-2005,1015.88,,,,,,,,,,,,,,,,,,,,,
05-04-2005,1012.58,,,,,,,,,,,,,,,,,,,,,
06-04-2005,1026.82,,,,,,,,,,,,,,,,,,,,,
07-04-2005,1021.33,,,,,,,,,,,,,,,,,,,,,
08-04-2005,1013.41,,,,,,,,,,,,,,,,,,,,,
09-04-2005,1013.41,,,,,,,,,,,,,,,,,,,,,
10-04-2005,1013.41,,,,,,,,,,,,,,,,,,,,,
11-04-2005,1001.53,,,,,,,,,,,,,,,,,,,,,
12-04-2005,1008.69,,,,,,,,,,,,,,,,,,,,,
13-04-2005,1011.14,,,,,,,,,,,,,,,,,,,,,
14-04-2005,1011.14,,,,,,,,,,,,,,,,,,,,,
15-04-2005,986.24,,,,,,,,,,,,,,,,,,,,,
16-04-2005,986.24,,,,,,,,,,,,,,,,,,,,,
17-04-2005,986.24,,,,,,,,,,,,,,,,,,,,,
18-04-2005,973.17,,,,,,,,,,,,,,,,,,,,,
19-04-2005,976.36,,,,,,,,,,,,,,,,,,,,,
20-04-2005,987.08,,,,,,,,,,,,,,,,,,,,,
21-04-2005,1004.6,,,,,,,,,,,,,,,,,,,,,
22-04-2005,1024.86,,,,,,,,,,,,,,,,,,,,,
23-04-2005,1024.86,,,,,,,,,,,,,,,,,,,,,
