date,BSE500,NIFTY 50,NIFTY AUTO,NIFTY BANK,NIFTY COMMODITIES,NIFTY CONSR DURBL,NIFTY CONSUMPTION,NIFTY CPSE,NIFTY ENERGY,NIFTY FMCG,NIFTY HEALTHCARE,NIFTY INFRA,NIFTY IT,NIFTY MEDIA,NIFTY METAL,NIFTY MICROCAP250,NIFTY MIDCAP 100,NIFTY MNC,NIFTY PHARMA,NIFTY PSU BANK,NIFTY PVT BANK,NIFTY REALTY,NIFTY SMLCAP 250,Equity + Puts,QVF,Gold Bees,QGF,Equity + Puts + Calls,Equity + Gold + Puts + Calls,NSE Momentum Index,QAW,LongOpt
2005-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,
2005-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,
2005-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,
2005-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015.88,,
2005-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.58,,
2005-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.82,,
2005-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.33,,
2005-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013.41,,
2005-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013.41,,
2005-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013.41,,
2005-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001.53,,
2005-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008.69,,
2005-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011.14,,
2005-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011.14,,
2005-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986.24,,
2005-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986.24,,
2005-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986.24,,
2005-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973.17,,
2005-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976.36,,
2005-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987.08,,
2005-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.6,,
2005-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.86,,
2005-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.86,,
2005-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.86,,
2005-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028.71,,
2005-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.31,,
2005-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.7,,
2005-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007.19,,
2005-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.08,,
